Titulo,Link,Fecha_lanzamiento,Editor,País,Duración,Edad_mínima,Año_grabación,Subtítulos
Los Tres Mosqueteros BD 1948 The Three Musketeers,https://www.elcorteingles.es/cine/A43545533-los-tres-mosqueteros-bd-1948-the-three-musketeers/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
El conde de Montecristo (Blu-Ray),https://www.elcorteingles.es/cine/A53276637-el-conde-de-montecristo-blu-ray/?parentCategoryId=999.54220013&color=default,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gladiator (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A28262608-gladiator-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,21 de noviembre de 2018,UNIVERSAL,N/A,N/A,N/A,N/A,N/A
Lobos del Norte Spawn Of The North,https://www.elcorteingles.es/cine/A20907883-lobos-del-norte-spawn-of-the-north/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Trilogía El Hobbit Extendida (Blu-Ray),https://www.elcorteingles.es/cine/A36700978-trilogia-el-hobbit-extendida-blu-ray/?parentCategoryId=999.54220013&color=default,11 de agosto de 2020,Warner,N/A,N/A,N/A,N/A,182 min
Pack The Equalizer 1-3 (Blu-Ray),https://www.elcorteingles.es/cine/A49875348-pack-the-equalizer-1-3-blu-ray/?parentCategoryId=999.54220013&color=default,14 de diciembre de 2023,Sony,N/A,N/A,N/A,N/A,N/A
Noé (Blu-Ray),https://www.elcorteingles.es/cine/A54961761-noe-blu-ray/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Pack Karate Kid: Películas 1-5 (Blu-Ray),https://www.elcorteingles.es/cine/A30221389-pack-karate-kid-peliculas-1-5-blu-ray/?parentCategoryId=999.54220013&color=default,3 de mayo de 2019,SONY PICTURES HOME ENTERTAINMENT,N/A,N/A,N/A,N/A,599 min
El especialista (Edición Metálica) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A52641413-el-especialista-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,28 de agosto de 2024,UNIVERSAL,EEUU,126 min,No recomendada a menores de 12 años,2024,Castellano
El Rector The Principal,https://www.elcorteingles.es/cine/A39167885-el-rector-the-principal/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Mortal Kombat - Steelbook 4k UHD + Blu-ray,https://www.elcorteingles.es/cine/A39963847-mortal-kombat-steelbook-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Ip Man BLU RAY Edición Especial Numerada y Limitada con Funda y 8 Postales 2008,https://www.elcorteingles.es/cine/A36884300-ip-man-blu-ray-edicion-especial-numerada-y-limitada-con-funda-y-8-postales-2008/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Juego de ladrones. El atraco perfecto,https://www.elcorteingles.es/cine/A27262998-juego-de-ladrones-el-atraco-perfecto/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
En El Corazon De La Tierra (Blu-Ray) (At The Earth'S Core),https://www.elcorteingles.es/cine/MP_0008858_8436548868949-en-el-corazon-de-la-tierra-blu-ray-at-the-earths-core/?parentCategoryId=999.54220013&color=default,Castellano,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
Turbulencia Abróchense los Cinturones BD 1996 Turbulence,https://www.elcorteingles.es/cine/A44622658-turbulencia-abrochense-los-cinturones-bd-1996-turbulence/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Ciudad en Llamas BD 1979 City on Fire,https://www.elcorteingles.es/cine/A41270707-ciudad-en-llamas-bd-1979-city-on-fire/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Sonic 3: la película (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54961734-sonic-3-la-pelicula-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Robin Hood (Edición 2025) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A55083307-robin-hood-edicion-2025-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,30 de abril de 2025,UNIVERSAL,N/A,N/A,N/A,N/A,EEUU
Indiana Jones y el dial del destino (Blu-Ray),https://www.elcorteingles.es/cine/A49584910-indiana-jones-y-el-dial-del-destino-blu-ray/?parentCategoryId=999.54220013&color=default,5 de diciembre de 2023,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Misión imposible 7: Sentencia mortal (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A49168621-mision-imposible-7-sentencia-mortal-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,31 de octubre de 2023,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
