Titulo,Link,Fecha_lanzamiento,Editor,País,Duración,Edad_mínima,Año_grabación,Subtítulos
Misión imposible 7: Sentencia mortal (Edición Metálica) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A49168620-mision-imposible-7-sentencia-mortal-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,31 de octubre de 2023,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Indiana Jones y el dial del destino (DVD),https://www.elcorteingles.es/cine/A49584907-indiana-jones-y-el-dial-del-destino-dvd/?parentCategoryId=999.54220013&color=default,5 de diciembre de 2023,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Pack Trilogía El Señor de los Anillos (Edición Extendida Remasterizada) (Blu-Ray + DVD),https://www.elcorteingles.es/cine/A43086683-pack-trilogia-el-senor-de-los-anillos-edicion-extendida-remasterizada-blu-ray--dvd/?parentCategoryId=999.54220013&color=default,20 de abril de 2022,Warner,Nueva Zelanda,725 min,No recomendada a menores de 12 años,2001,"Castellano, DTS HD Master Audio 5,1
Inglés, Dolby TrueHD"
Pack Harry el sucio 1-5 (Blu-Ray),https://www.elcorteingles.es/cine/A51102152-pack-harry-el-sucio-1-5-blu-ray/?parentCategoryId=999.54220013&color=default,24 de abril de 2024,Warner,N/A,N/A,N/A,N/A,EEUU
Pack Tierra Media (El Hobbit y El Señor de los Anillos) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A41258734-pack-tierra-media-el-hobbit-y-el-senor-de-los-anillos-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,29 de noviembre de 2021,Warner,N/A,N/A,N/A,N/A,N/A
Top Gun: Maverick (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A45058038-top-gun-maverick-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,31 de octubre de 2022,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
LOS REYES DEL CRIMEN,https://www.elcorteingles.es/cine/A1989360-los-reyes-del-crimen/?parentCategoryId=999.54220013&color=default,,DVD STORE,N/A,N/A,N/A,N/A,N/A
Sin Tregua (End Of Watch),https://www.elcorteingles.es/cine/MP_0008858_8436540902924-sin-tregua-end-of-watch/?parentCategoryId=999.54220013&color=default,Castellano,Acción y Aventuras,N/A,N/A,N/A,N/A,N/A
Ip Man Ii Yip Man 2: Chung Si Chuen Kei,https://www.elcorteingles.es/cine/A46616025-ip-man-ii-yip-man-2-chung-si-chuen-kei/?parentCategoryId=999.54220013&color=default,9 de enero de 2024,DVD STORE,N/A,N/A,N/A,N/A,N/A
Fuerza de vigilancia (DVD),https://www.elcorteingles.es/cine/MP_0000572_cine8038-fuerza-de-vigilancia-dvd/?parentCategoryId=999.54220013&color=default,23 de noviembre de 2016,RESEARCH ENTERTAINMENT SL,N/A,N/A,N/A,N/A,N/A
